FASLE_iphone7_cut,false_22,95.0%
FASLE_iphone7_cut,false_40,80.4%
FASLE_iphone7_cut,false_6,85.8%
FASLE_iphone7_cut,false_30,89.3%
FASLE_iphone7_cut,false_34,90.5%
FASLE_iphone7_cut,false_28,89.9%
FASLE_iphone7_cut,false_61,96.5%
FASLE_iphone7_cut,false_9,92.7%
FASLE_iphone7_cut,false_31,91.2%
FASLE_iphone7_cut,false_36,91.1%
FASLE_iphone7_cut,false_29,84.5%
FASLE_iphone7_cut,false_2,89.9%
FASLE_iphone7_cut,false_62,97.5%
FASLE_iphone7_cut,false_3,86.1%
FASLE_iphone7_cut,false_39,84.5%
FASLE_iphone7_cut,false_23,100.0%
FASLE_iphone7_cut,false_51,94.6%
FASLE_iphone7_cut,false_59,98.1%
FASLE_iphone7_cut,false_13,96.2%
FASLE_iphone7_cut,false_43,91.2%
FASLE_iphone7_cut,false_25,93.4%
FASLE_iphone7_cut,false_18,96.2%
FASLE_iphone7_cut,false_10,87.7%
FASLE_iphone7_cut,false_8,93.4%
FASLE_iphone7_cut,false_11,91.2%
FASLE_iphone7_cut,false_1,96.2%
FASLE_iphone7_cut,false_52,95.3%
FASLE_iphone7_cut,false_27,78.9%
FASLE_iphone7_cut,false_16,93.7%
FASLE_iphone7_cut,false_12,89.6%
FASLE_iphone7_cut,false_19,98.1%
FASLE_iphone7_cut,false_35,83.9%
FASLE_iphone7_cut,false_24,99.7%
FASLE_iphone7_cut,false_20,95.9%
FASLE_iphone7_cut,false_21,93.4%
FASLE_meizu16xs_cut,false_17,92.4%
FASLE_meizu16xs_cut,false_15,94.0%
FASLE_meizu16xs_cut,false_18,80.9%
FASLE_meizu16xs_cut,false_16,84.0%
FASLE_meizu16xs_cut,false_19,98.0%
FASLE_meizu16xs_cut,false_20,78.2%
FASLE_huaweip20pro_cut,false_22,95.5%
FASLE_huaweip20pro_cut,false_30,51.1%
FASLE_huaweip20pro_cut,false_28,56.3%
FASLE_huaweip20pro_cut,false_23,96.3%
FASLE_huaweip20pro_cut,false_25,98.7%
FASLE_huaweip20pro_cut,false_27,60.3%
FASLE_huaweip20pro_cut,false_24,98.5%
FASLE_huaweip20pro_cut,false_21,91.7%
FASLE_pingban_cut,false_17,95.4%
FASLE_pingban_cut,false_4,73.3%
FASLE_pingban_cut,false_14,88.9%
FASLE_pingban_cut,false_38,96.4%
FASLE_pingban_cut,false_42,92.8%
FASLE_pingban_cut,false_5,84.7%
FASLE_pingban_cut,false_15,96.4%
FASLE_pingban_cut,false_22,91.5%
FASLE_pingban_cut,false_40,93.5%
FASLE_pingban_cut,false_6,91.9%
FASLE_pingban_cut,false_30,79.8%
FASLE_pingban_cut,false_34,90.8%
FASLE_pingban_cut,false_28,84.4%
FASLE_pingban_cut,false_9,73.0%
FASLE_pingban_cut,false_31,82.7%
FASLE_pingban_cut,false_36,91.9%
FASLE_pingban_cut,false_29,95.4%
FASLE_pingban_cut,false_2,83.4%
FASLE_pingban_cut,false_3,62.5%
