
iphone7_cut,34,98.2%
iphone7_cut,62,99.7%
iphone7_cut,43,99.4%
iphone7_cut,61,99.7%
iphone7_cut,20,99.7%
iphone7_cut,25,98.8%
iphone7_cut,23,100.0%
iphone7_cut,14,100.0%
iphone7_cut,42,98.9%
iphone7_cut,40,98.2%
iphone7_cut,36,99.5%
iphone7_cut,28,97.6%
iphone7_cut,13,99.4%
iphone7_cut,3,97.0%
iphone7_cut,39,99.4%
iphone7_cut,35,98.6%
iphone7_cut,31,97.3%
iphone7_cut,52,100.0%
iphone7_cut,21,98.8%
iphone7_cut,8,98.8%
iphone7_cut,18,100.0%
iphone7_cut,51,99.4%
iphone7_cut,1,99.4%
iphone7_cut,60,99.7%
iphone7_cut,16,98.5%
iphone7_cut,63,99.7%
iphone7_cut,29,96.7%
iphone7_cut,17,99.7%
iphone7_cut,5,97.3%














































































































































































































































